state,num_loans,num_undisbursed,pct
IL,11080,1713,0.1546028880866426
GA,8865,1217,0.13728144388042865
CA,8837,1200,0.13579268982686432
TX,7479,1022,0.13664928466372508
FL,6522,745,0.11422876418276602
NY,3854,594,0.15412558380902958
OH,3363,456,0.13559322033898305
MI,2870,429,0.14947735191637632
LA,2862,454,0.1586303284416492
TN,2448,385,0.15727124183006536
PA,2413,306,0.12681309573145463
NV,1874,296,0.15795090715048027
IN,1862,282,0.1514500537056928
AL,1830,226,0.12349726775956284
NC,1702,186,0.10928319623971798
MS,1644,177,0.10766423357664233
SC,1539,198,0.1286549707602339
MO,1471,186,0.1264445955132563
AZ,1395,178,0.12759856630824373
MD,1327,162,0.12207987942727958
NJ,1322,145,0.10968229954614221
WI,1271,209,0.16443745082612116
VA,1265,181,0.14308300395256918
AR,1076,176,0.16356877323420074
MA,891,67,0.07519640852974187
MN,771,84,0.10894941634241245
KY,648,48,0.07407407407407407
WA,587,46,0.07836456558773425
CT,585,50,0.08547008547008547
OK,580,45,0.07758620689655173
CO,546,53,0.09706959706959707
IA,496,56,0.11290322580645161
KS,454,33,0.07268722466960352
OR,326,15,0.046012269938650305
PR,323,10,0.030959752321981424
DE,262,44,0.16793893129770993
DC,259,46,0.1776061776061776
NE,222,21,0.0945945945945946
UT,214,15,0.07009345794392523
NM,184,12,0.06521739130434782
RI,174,15,0.08620689655172414
WV,145,11,0.07586206896551724
ID,133,2,0.015037593984962405
ME,123,2,0.016260162601626018
NH,108,2,0.018518518518518517
HI,96,3,0.03125
ND,79,2,0.02531645569620253
SD,74,4,0.05405405405405406
AK,67,7,0.1044776119402985
MT,65,4,0.06153846153846154
WY,34,4,0.11764705882352941
VT,19,1,0.05263157894736842
GU,8,NA,NA
VI,7,1,0.14285714285714285
AS,2,NA,NA
MP,1,1,1
